yearID,lgID,teamID,W,R,AB,H,BA,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP
2004,NL,SFN,91,850,5546,1500,0.2704652,314,33,183,705,874,43,23,72,51,770,695,4.29,8,8,46,4371,1481,161,548,1020,101,153,0.98
2004,NL,SDN,87,768,5573,1521,0.272923022,304,32,139,566,910,52,25,56,66,705,645,4.03,3,8,44,4323,1460,184,422,1079,108,146,0.98
2004,NL,COL,68,833,5577,1531,0.274520351,331,34,202,568,1181,44,33,54,37,923,883,5.54,3,2,36,4306,1634,198,697,947,89,161,0.98
2004,NL,ARI,51,615,5544,1401,0.252705628,295,38,135,441,1022,53,32,35,37,899,794,4.98,5,6,33,4308,1480,197,668,1153,139,144,0.97
2005,AL,CHA,99,741,5529,1450,0.262253572,253,23,200,435,1002,137,67,79,49,645,592,3.61,9,10,54,4427,1392,167,459,1040,94,166,0.98
2005,AL,CLE,93,790,5609,1522,0.271349617,337,30,207,503,1093,62,36,54,50,642,582,3.61,6,10,51,4358,1363,157,413,1050,106,156,0.98
2005,AL,MIN,83,688,5564,1441,0.258986341,269,32,134,485,978,102,44,59,42,662,604,3.71,9,8,44,4393,1458,169,348,965,102,171,0.98
2005,AL,DET,71,723,5602,1521,0.271510175,283,45,168,384,1038,66,28,53,52,787,719,4.51,7,2,37,4307,1504,193,461,907,110,171,0.98
2005,AL,KCA,56,701,5503,1445,0.262584045,289,34,126,424,1008,53,33,63,50,935,862,5.49,4,4,25,4240,1640,178,580,924,125,163,0.97
2005,AL,NYA,95,886,5624,1552,0.275960171,259,16,229,637,989,84,27,73,43,789,718,4.52,8,14,46,4292,1495,164,463,985,95,151,0.98
2005,AL,BOS,95,910,5626,1579,0.280661216,339,21,199,653,1044,45,12,47,63,805,752,4.74,6,8,38,4287,1550,164,440,959,109,135,0.98
2005,AL,TOR,80,775,5581,1480,0.265185451,307,39,136,486,955,72,35,89,56,705,653,4.06,9,8,35,4341,1475,185,444,958,95,154,0.98
2005,AL,BAL,74,729,5551,1492,0.2687804,296,27,189,447,902,83,37,54,42,800,724,4.56,2,9,38,4283,1458,180,580,1052,107,154,0.98
2005,AL,TBA,67,750,5552,1519,0.273595101,289,40,157,412,990,151,49,69,51,936,851,5.39,1,4,43,4265,1570,194,615,949,124,139,0.97
2005,AL,LAA,95,761,5624,1520,0.27027027,278,30,147,447,848,161,57,29,39,643,598,3.68,7,11,54,4393,1419,158,443,1126,87,139,0.98
2005,AL,OAK,88,772,5627,1476,0.262306735,310,20,155,537,819,31,22,52,40,658,594,3.69,9,12,38,4351,1315,154,504,1075,88,166,0.98
2005,AL,TEX,79,865,5716,1528,0.267319804,311,29,260,495,1112,67,15,48,32,858,794,4.96,2,6,46,4320,1589,159,522,932,108,149,0.98
2005,AL,SEA,69,699,5507,1408,0.255674596,289,34,130,466,986,102,47,48,37,751,712,4.49,6,7,39,4283,1483,179,496,892,86,144,0.98
2005,NL,SLN,100,805,5538,1494,0.269772481,287,26,170,534,947,83,36,62,35,634,560,3.49,15,14,48,4337,1399,153,443,974,100,196,0.98
2005,NL,HOU,89,693,5462,1400,0.256316368,281,32,161,481,1037,115,44,72,42,609,563,3.51,6,11,45,4329,1336,155,440,1164,89,146,0.98
2005,NL,MIL,81,726,5448,1413,0.259361233,327,19,175,531,1162,79,34,73,38,697,635,3.97,7,6,46,4314,1382,169,569,1173,119,139,0.98
2005,NL,CHN,79,703,5584,1506,0.26969914,323,23,194,419,920,65,39,50,37,714,671,4.19,8,10,39,4320,1357,186,576,1256,101,136,0.98
2005,NL,CIN,73,820,5565,1453,0.261096137,335,15,222,611,1303,72,23,62,39,889,820,5.15,2,1,31,4299,1657,219,492,955,104,133,0.98
2005,NL,PIT,67,680,5573,1445,0.259285842,292,38,139,471,1092,73,30,72,49,769,706,4.42,4,14,35,4308,1456,162,612,958,117,193,0.98
